time,blocknumber,reward,stake,reward(usd), stake(usd)
2021-03-27 09:13:39,12120000,193672981.09030062,20178319.441359073,65199334.411859564,6792960.947469946
2021-03-28 04:44:32,12125000,193725715.68808106,20178319.441359073,64497763.430635296,6718036.731127887
2021-03-28 23:11:38,12130000,193156555.28934437,20121297.499257825,64308270.917359926,6699052.22141043
2021-03-29 17:35:46,12135000,193213110.0738766,20121297.499257825,66512376.76794686,6926627.907489651
2021-03-30 12:10:55,12140000,193613697.0929748,19903936.159257825,74017196.07054383,7609139.060899784
2021-03-31 06:36:33,12145000,193690759.99681073,19903936.159257825,71681005.7041076,7366041.422881742
2021-04-01 00:58:14,12150000,193999227.43180645,19903936.159257825,69728231.63836259,7153978.340020791
2021-04-01 19:41:54,12155000,194103207.31178722,19903936.159257825,69765604.63851836,7153978.340020791
2021-04-02 14:13:12,12160000,206538135.1279679,20058949.952170696,75205940.10654822,7303988.620641518
2021-04-03 08:25:06,12165000,207517142.6601533,20058949.952170696,79377584.5809614,7672768.504919452
2021-04-04 02:54:39,12170000,207619126.29239082,20058949.952170696,73081267.21185586,7060686.111256195
2021-04-04 21:15:00,12175000,208294524.70908195,20029149.952170696,73319005.29045251,7050196.6067399
2021-04-05 15:42:31,12180000,208866673.97566864,20029149.952170696,75555064.23850666,7245309.5674575055
2021-04-06 10:18:17,12185000,208990668.11357948,20030238.50235082,77189251.82344182,7398029.480442127
2021-04-07 04:31:54,12190000,209090360.82389125,20030238.50235082,78580118.2862719,7527743.051448777
2021-04-07 22:58:38,12195000,213002450.60479277,20055238.50235082,80050355.73059234,7537138.525010619
2021-04-08 17:32:41,12200000,213097344.58212292,20055238.50235082,72398196.24761772,6813614.199337991
2021-04-09 12:05:16,12205000,218037740.5430197,20055288.50235082,77618279.92843625,7139392.442538545
2021-04-10 06:30:01,12210000,218909189.50252268,20055439.895365007,80182697.37059525,7345965.107351893
2021-04-11 00:52:28,12215000,228393657.1790107,20060444.094795,82126397.61444297,7213387.746403856
2021-04-11 19:23:01,12220000,229659803.06722203,20060444.094795,82581681.7144372,7213387.746403856
2021-04-12 13:30:09,12225000,229761991.65575418,20060544.094795,84463312.13235356,7374500.82676056
2021-04-13 08:00:15,12230000,229870776.45368734,20060544.094795,82415232.39960822,7192277.457540202
2021-04-14 02:33:29,12235000,229910246.25103855,20142510.680849325,97022567.77079783,8500178.393410316
2021-04-14 21:08:45,12240000,230014620.79357654,20142510.680849325,97066614.02924897,8500178.393410316
2021-04-15 15:46:30,12245000,230132343.5283153,20142510.680849325,94921948.48386276,8308116.67699368
2021-04-16 10:36:02,12250000,230247013.21683568,20142610.680849325,101829436.91150053,8908305.36692706
2021-04-17 04:46:31,12255000,230344876.01554433,20142610.680849325,98995825.99845056,8656734.2699706
