blocknumber,timestamp,totalStaked,totalRewards 
10342580,1593189690,0,0 
10347580,1593257048,   74498.000000000000000000,   343196.000000000000000000
10352580,1593325340,   74498.000000000000000000,  1090152.000000000000000000
10357580,1593391273,   74498.000000000000000000,  1796732.000000000000000000
10362580,1593459003,   74498.000000000000000000,  2543688.000000000000000000
10367580,1593526353,   74498.000000000000000000,  3230080.000000000000000000
10372580,1593594068,   74498.000000000000000000,  3916472.000000000000000000
10377580,1593660201,   74498.000000000000000000,  4623052.000000000000000000
10382580,1593727950,   74498.000000000000000000,  5309444.000000000000000000
10387580,1593794362,   74498.000000000000000000,  6016024.000000000000000000
10392580,1593860766,   74498.000000000000000000,  6742792.000000000000000000
10397580,1593927770,   74498.000000000000000000,  7368620.000000000000000000
10402580,1593994542,   74498.000000000000000000,  8034824.000000000000000000
10407580,1594061660,   74498.000000000000000000,  8801968.000000000000000000
10412580,1594128464,   74498.000000000000000000,  9488360.000000000000000000
10417580,1594193990,   74498.000000000000000000, 10154564.000000000000000000
10422580,1594260987,   74498.000000000000000000, 10881332.000000000000000000
10427580,1594328677,   74498.000000000000000000, 11628288.000000000000000000
10432580,1594394621,   74498.000000000000000000, 12375244.000000000000000000
10437580,1594461891,   74498.000000000000000000, 13061636.000000000000000000
10442580,1594528526,   74498.000000000000000000, 13788404.000000000000000000
10447580,1594595105,   74498.000000000000000000, 14494984.000000000000000000
10452580,1594661428,   74498.000000000000000000, 15241940.000000000000000000
10457580,1594729183,   74498.000000000000000000, 15988896.000000000000000000
10462580,1594795954,   74498.000000000000000000, 16715664.000000000000000000
10467580,1594862914,   74498.000000000000000000, 17462620.000000000000000000
10472580,1594929968,   74498.000000000000000000, 18149012.000000000000000000
10477580,1594996730,   74498.000000000000000000, 18734464.000000000000000000
10482580,1595063037,   74498.000000000000000000, 19218976.000000000000000000
10487580,1595130653,   74498.000000000000000000, 19784240.000000000000000000
10492580,1595197274,   74498.000000000000000000, 20349504.000000000000000000
10497580,1595264648,   84499.000000000000000000, 20975331.681562952574008068
10502580,1595332361,   84499.000000000000000000, 21702099.681562952574008068
10507580,1595399405,   84499.000000000000000000, 22388491.681562952574008068
10512580,1595465672,   84499.000000000000000000, 23095071.681562952574008068
10517580,1595532648,   84499.000000000000000000, 23720899.681562952574008068
10522580,1595598874,   84499.000000000000000000, 24427479.681562952574008068
10527580,1595666274,   84499.000000000000000000, 25093683.681562952574008068
10532580,1595733410,   84499.000000000000000000, 25578195.681562952574008068
10537580,1595799994,   84499.000000000000000000, 26264587.681562952574008068
10542580,1595866799,   84499.000000000000000000, 26850039.681562952574008068
10547580,1595933119,   84499.000000000000000000, 27516243.681562952574008068
10552580,1596000197,   94499.000000000000000000, 28243011.681562952574008068
10557580,1596066685,   94499.000000000000000000, 28889027.681562952574008068
10562580,1596134709,   94499.000000000000000000, 29635983.681562952574008068
10567580,1596201646,   94499.000000000000000000, 30382939.681562952574008068
10572580,1596268018,   94499.000000000000000000, 31129895.681562952574008068
10577580,1596333815,   94499.000000000000000000, 31856663.681562952574008068
10582580,1596400700,   94499.000000000000000000, 32543055.681562952574008068
10587580,1596468100,   94499.000000000000000000, 33249635.681562952574008068
10592580,1596534951,   94499.000000000000000000, 34016779.681562952574008068
10597580,1596601603,  104499.000000000000000000, 34743539.699410200605001392
10602580,1596668670,  105510.253616432580438574, 35490495.699410200605001392
10607580,1596734639,  105510.253616432580438574, 36116323.699410200605001392
10612580,1596801830,  105510.253616432580438574, 36802715.699410200605001392
10617580,1596868672,  105510.253616432580438574, 37549671.699410200605001392
10622580,1596935145,  105510.253616432580438574, 38296627.699410200605001392
10627580,1597000876,  105510.253616432580438574, 39003207.699410200605001392
10632580,1597067937,  105510.253616432580438574, 39750163.699410200605001392
10637580,1597134987,  105510.253616432580438574, 40375991.699410200605001392
10642580,1597201892,  105510.253616432580438574, 41102759.699410200605001392
10647580,1597267654,  105510.253616432580438574, 41829527.699410200605001392
10652580,1597334758,  105510.253616432580438574, 42536107.458136726795782772
10657580,1597400901,  105510.253616432580438574, 43202311.458136726795782772
10662580,1597466967,  105510.253616432580438574, 43908891.433912078831244374
10667580,1597534196,  105510.253616432580438574, 44413591.433912078831244374
10672580,1597600848,  105510.253616432580438574, 44797163.433912078831244374
10677580,1597667626, 1574760.253616432580438574, 45140289.738698549372979618
